#key,Label,JLabel,LayoutId,PopRange,RandomPopRange00,RandomPopRange01,RandomPopRange02,RandomPopRange03,RandomPopRange04,RandomPopRange05,RandomPopRange06,RandomPopRange07,IdleRange,DepopRange,BNpcName,BaseId,BaseNpc,LayoutLabel,Customize,Equipment,Alias,Team,NormalAI,RelativePopBaseNpc,AppearAct,SignAct,StartAct,CompleteAct,SuccessAct,FailureAct,StartTarget,TargetName,NormalTalkEvent,StartTalkEvent,TradeTalkEvent,RuleExTalkEvent,DeadGimmickAction,GimmickTalkEvent,GimmickTalkGimmickAction,EventAction,EventActionGimmickAction,BeforeStartYell,RunningYell,WaitEndYell,BattleYell,DyingYell,DeadReinforcementGroup,AppearYell,EscapeYell,DeadYell,SuccessYell,FailureYell,FateOrder,LifeTime,Channeling,ChannelingStatus,OwnerNpc,FollowTargetNpc,NpcReplace,EntryType,ParamBonus,AIType,BossAI,MoveAI,ContinueMoveAI,ActiveType,PopDirectionType,RelativePopType,RepopTime,DistributeType,Contribution,CreateHideType,WanderingRange,TerritoryRadius,DyingHpRate,DyingType,DyingTargetStatus,MoveSpeed,Link,TargetStatus,ForceBattle,Collision,PriorityActorType,FollowerFormation,LocalProgress,InvisibilityGroup,TodoCountIndex,LayoutPopCondition,IsENpcMode,IsTurn,IsObjective,IsRepop,IsDyingENpc,Immortal,NeedLvSync,FixedHpRate,IsAccessRestraint
#キー,ラベル,日本語ラベル,配置ID,ポップレンジ,ポップレンジ,ポップレンジ,ポップレンジ,ポップレンジ,ポップレンジ,ポップレンジ,ポップレンジ,ポップレンジ,出現用レンジ,撤退用レンジ,BNPC名前,ベースID,引き継ぎ元のNPC,レイアウトラベル,カスタマイズ,装備,別名,チーム,通常思考,相対ポップ基準NPC,出現行動,予兆行動,開始行動,達成行動,成功行動,失敗行動,初期ターゲット,ターゲット名,通常トークイベント,FATE開始トークイベント,納品トークイベント,ルール拡張トークイベント,死亡時ギミックアクション,ギミックトークイベント,ギミックトークはい選択時ギミックアクション,イベントアクション,イベントアクション成功時ギミックアクション,開始前エール,FATE発生中エール,終了待ち中エール,バトル中エール,瀕死中エール,死亡時に呼ぶ増援グループ,出現エール,撤退エール,死亡エール,FATE成功エール,FATE失敗エール,命令,寿命,チャネリング対象,チャネリングステータス,オーナーNPC,追従対象NPC,置換ラベル,エントリータイプ,パラメータ補正,AIタイプ,ボスAI,移動AIタイプ,引き継ぎ用移動AIタイプ,アクティブタイプ,ポップ向きタイプ,相対ポップタイプ,リポップ時間,貢献度タイプ,貢献ポイント,不可視ポップタイプ,ワンダリング距離,なわばり半径,瀕死にするHP率,瀕死時行動タイプ,瀕死時ターゲット状態,移動速度,リンク,ターゲット状態,強制バトル,コリジョン,優先アクタータイプ,追従者隊形,ローカル進行度,不可視グループ,TODO用のカウンタインデックス,レイアウトポップ条件,ENPCモード？,ターン,目的となる相手？,リポップする？,瀕死時ENPC化,不死身,レベルシンクしないと使えない,HP倍率固定,アクセス抑制
#Key,keyAlias,keyDevcode,"lookup(LevelReference,key)|u_int","lookup(LevelReference,key)|u_int","lookup(LevelReference,key)|u_int","lookup(LevelReference,key)|u_int","lookup(LevelReference,key)|u_int","lookup(LevelReference,key)|u_int","lookup(LevelReference,key)|u_int","lookup(LevelReference,key)|u_int","lookup(LevelReference,key)|u_int","lookup(LevelReference,key)|u_int","lookup(LevelReference,key)|u_int","lookup(LevelReference,key)|u_int","lookup(BNpcName,key)","lookup(BNpcBase, key) | lookup(ENpcBase, key) | lookup(EObj, key)","lookup(FateNpc,key)|u_int16","lookup(FateLayoutLabel,key)|u_int16","lookup(BNpcCustomize, key) | u_int16","lookup(NpcEquip, key) | u_int16","lookup(FateNpcAlias,key)|u_int16","lookup(FateParam,param)|u_int16","lookup(Gambit, key) | lookup(Behavior, key)  | lookup(FateParam,param) | u_int16","lookup(FateNpc,key)|u_int16","lookup(FateAct,key)|u_int16","lookup(FateAct,key)|u_int16","lookup(FateAct,key)|u_int16","lookup(FateAct,key)|u_int16","lookup(FateAct,key)|u_int16","lookup(FateAct,key)|u_int16","lookup(FateTargetList,key)|u_int16","lookup(FateTarget,key)|u_int16","lookup(FateEvent,key)|u_int16","lookup(FateEvent,key)|u_int16","lookup(FateEvent,key)|u_int16","lookup(FateEvent,key)|u_int16","lookup(FateGimmickAction, key) | u_int16","lookup(FateEvent,key)|u_int16","lookup(FateGimmickAction, key) | u_int16","lookup(EventAction,key)|u_int16","lookup(FateGimmickAction, key) | u_int16","lookup(FateArrayNpcYell,key)|u_int16","lookup(FateArrayNpcYell,key)|u_int16","lookup(FateArrayNpcYell,key)|u_int16","lookup(FateArrayNpcYell,key)|u_int16","lookup(FateArrayNpcYell,key)|u_int16","lookup(FatePopGroup,key)|u_int16","lookup(NpcYell,key)|u_int16","lookup(NpcYell,key)|u_int16","lookup(NpcYell,key)|u_int16","lookup(NpcYell,key)|u_int16","lookup(NpcYell,key)|u_int16","lookup(FateOrder,key)|u_int16",u_int16,"lookup(FateNpc,key)|u_int16","lookup(StatusParam, key)|u_int16","lookup(FateNpc, key) | u_int16","lookup(FateNpc, key) | u_int16","lookup(FateNpcReplace,key)|u_int8","lookup(FateNpcType,key)|u_int8","lookup(FateNpcParamBonus, key) | u_int8","lookup(FateAIType, key) | u_int8","lookup(FateBossAI,key)|u_int8","lookup(MoveAI,key)|u_int8","lookup(MoveAI, key) | lookup(FateParam,param) | u_int8","lookup(ActiveType,key)|u_int8","lookup(FatePopDirectionType, key) | u_int8","lookup(FateRelativePopType,key)|u_int8",u_int8,"lookup(FateContributionType,key)|u_int8",u_int8,"lookup(FateCreateHideType, key) | u_int8",u_int8,u_int8,u_int8,"lookup(FateDyingType,key) | u_int8","lookup(FateParam, param) | u_int8","lookup(FateMoveType, key) | u_int8","lookup(FateNpcLink,key)|u_int8","lookup(FateParam,param)|u_int8","lookup(FateParam,param)|u_int8","lookup(FateParam,param)|u_int8","lookup(FateParam, param) | u_int8","lookup(FateFollowFormation, key) | u_int8","lookup(FateParam, param) | u_int8",u_int8,int8,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean
14,,F1F1_006_収集アイテム_001_005,3692622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,255,0,0,0,0,0,2,0,10,0,0,1,0,1,0,0,0,0,0,0,255,0,-1,0,0,0,1,1,0,0,1,0,0
15,,F1F1_006_収集アイテム_001_006,3692623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,255,0,0,0,0,0,2,0,10,0,0,1,0,1,0,0,0,0,0,0,255,0,-1,0,0,0,1,1,0,0,1,0,0
16,,F1F1_006_収集アイテム_001_007,3692624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,255,0,0,0,0,0,2,0,10,0,0,1,0,1,0,0,0,0,0,0,255,0,-1,0,0,0,1,1,0,0,1,0,0
17,,F1F1_006_収集アイテム_001_008,3692626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,255,0,0,0,0,0,2,0,10,0,0,1,0,1,0,0,0,0,0,0,255,0,-1,0,0,0,1,1,0,0,1,0,0
18,,F1F1_006_開始NPC_001,3868020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,255,0,0,0,0,0,2,0,10,0,0,1,0,1,0,0,0,0,0,0,255,0,-1,0,1,0,1,1,0,0,1,0,0
19,,F1F1_007_敵_001_001,0,3872334,0,0,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,255,0,0,0,15,0,2,0,10,0,0,1,0,1,0,0,0,0,0,0,255,0,-1,0,0,0,1,1,0,0,1,0,0
20,,F1F1_007_敵_001_002,0,3872335,0,0,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,255,0,0,0,15,0,2,0,10,0,0,1,0,1,0,0,0,0,0,0,255,0,-1,0,0,0,1,1,0,0,1,0,0
21,,F1F1_007_敵_001_003,0,3872336,0,0,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,255,0,0,0,15,0,2,0,10,0,0,1,0,1,0,0,0,0,0,0,255,0,-1,0,0,0,1,1,0,0,1,0,0
22,,F1F1_008_敵_001_001,3854653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,255,0,0,0,0,1,20,0,10,100,0,1,0,1,0,0,0,0,0,0,255,0,-1,0,0,0,1,0,0,0,1,0,0
23,,F1F1_013_味方_001_001,0,3876596,0,0,0,0,0,0,0,0,0,0,518,485,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,255,0,0,0,0,0,2,0,10,0,0,1,0,1,0,0,0,0,0,0,255,0,-1,0,0,0,1,1,0,0,1,0,0
24,,F1F1_013_敵_001_001,3876580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,255,0,0,0,0,1,20,0,10,100,10,1,0,1,0,0,0,0,0,0,255,0,-1,0,0,0,1,0,0,0,1,0,0
25,,F1F1_013_開始NPC_001,3895606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,38,0,10,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,255,0,0,0,0,0,2,0,10,120,10,1,0,1,0,0,0,0,0,0,255,0,-1,0,0,0,1,0,0,0,1,0,0
26,,F1F1_014_敵_001_001,0,3841530,0,0,0,0,0,0,0,0,0,3841534,543,593,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,255,0,0,0,10,0,2,0,10,0,0,1,0,1,0,0,0,0,0,0,255,0,-1,0,0,0,1,1,0,0,1,0,0
27,,F1F1_015_敵_001_001,3854662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,255,0,0,0,0,1,20,0,10,100,0,1,0,1,0,0,0,0,0,0,255,0,-1,0,0,0,1,0,0,0,1,0,0
28,,F1F1_016_敵_001_001,0,3841364,0,0,0,0,0,0,0,0,0,3841425,54,57,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,255,0,0,0,10,0,2,0,10,0,0,1,0,1,0,0,0,0,0,0,255,0,-1,0,0,0,1,1,0,0,1,0,0
29,,F1F1_016_敵_001_002,0,3841367,0,0,0,0,0,0,0,0,0,3841425,54,57,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,255,0,0,0,10,0,2,0,10,0,0,1,0,1,0,0,0,0,0,0,255,0,-1,0,0,0,1,1,0,0,1,0,0
30,,F1F1_016_敵_001_003,0,3841372,0,0,0,0,0,0,0,0,0,3841425,54,57,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,255,0,0,0,10,0,2,0,10,0,0,1,0,1,0,0,0,0,0,0,255,0,-1,0,0,0,1,1,0,0,1,0,0
31,,F1F1_017_敵_001_001,3862268,0,0,0,0,0,0,0,0,0,0,3852496,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,255,0,0,0,0,1,20,0,10,100,0,1,0,1,0,0,0,0,0,0,255,0,-1,0,0,0,1,0,0,0,1,0,0
32,,F1F1_018_敵_001_001,0,3852556,0,0,0,0,0,0,0,0,0,3852558,39,39,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,255,0,0,0,0,0,2,0,10,0,0,1,0,1,0,0,0,0,0,0,255,0,-1,0,0,0,1,1,0,0,1,0,0
33,,F1F1_019_敵_001_001,0,3852560,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,255,0,0,0,0,0,2,0,10,0,0,1,0,1,0,0,0,0,0,0,255,0,-1,0,0,0,1,1,0,0,1,0,0
34,,F1F1_019_敵_001_002,0,3852560,0,0,0,0,0,0,0,0,0,0,182,18,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,255,0,0,0,0,0,2,0,10,0,0,1,0,1,0,0,0,0,0,0,255,0,-1,0,0,0,1,1,0,0,1,0,0
35,,F1F1_019_敵_001_003,0,3852560,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,255,0,0,0,0,0,2,0,10,0,0,1,0,1,0,0,0,0,0,0,255,0,-1,0,0,0,1,1,0,0,1,0,0
